AOI_ID,FCOVER_cell_id,block_col,block_crs,block_id,block_row,block_size_m,cell_center_lat,cell_center_lon,cell_center_x_m,cell_center_y_m,cell_col,cell_row,development_reserve_assignment
AOI-00,AOI-00_r0000_c0128,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.69642857269952,561018.6857040208,4222885.270096154,128,0,development
AOI-00,AOI-00_r0000_c0129,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.69940476317572,561279.452410754,4222887.232395628,129,0,development
AOI-00,AOI-00_r0000_c0130,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.70238095365193,561540.219157053,4222889.203064255,130,0,development
AOI-00,AOI-00_r0000_c0131,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.70535714412813,561800.9859430882,4222891.182102051,131,0,development
AOI-00,AOI-00_r0000_c0132,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.70833333460433,562061.7527690267,4222893.169509028,132,0,development
AOI-00,AOI-00_r0000_c0133,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.71130952508054,562322.5196350367,4222895.165285204,133,0,development
AOI-00,AOI-00_r0000_c0134,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.71428571555674,562583.2865412867,4222897.16943059,134,0,development
AOI-00,AOI-00_r0000_c0135,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.71726190603295,562844.0534879449,4222899.181945205,135,0,development
AOI-00,AOI-00_r0000_c0136,7,EPSG:32647,AOI-00_b_7_5,5,5000,38.151785714295215,99.72023809650915,563104.8204751796,4222901.20282906,136,0,development
AOI-00,AOI-00_r0001_c0000,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.3154761917454,527641.9368776958,4222372.962833453,0,1,development
AOI-00,AOI-00_r0001_c0001,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.31845238222161,527902.7105060369,4222373.853956499,1,1,development
AOI-00,AOI-00_r0001_c0002,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.32142857269781,528163.4841524049,4222374.753447134,2,1,development
AOI-00,AOI-00_r0001_c0003,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.32440476317402,528424.2578169686,4222375.661305367,3,1,development
AOI-00,AOI-00_r0001_c0004,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.32738095365022,528685.0314998964,4222376.5775312,4,1,development
AOI-00,AOI-00_r0001_c0005,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.33035714412642,528945.8052013556,4222377.502124644,5,1,development
AOI-00,AOI-00_r0001_c0006,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.33333333460263,529206.578921517,4222378.435085703,6,1,development
AOI-00,AOI-00_r0001_c0007,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.33630952507883,529467.3526605478,4222379.376414386,7,1,development
AOI-00,AOI-00_r0001_c0008,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.33928571555504,529728.1264186165,4222380.326110698,8,1,development
AOI-00,AOI-00_r0001_c0009,0,EPSG:32647,AOI-00_b_0_5,5,5000,38.148809523819025,99.34226190603124,529988.9001958916,4222381.284174647,9,1,development
AOI-00,AOI-00_r0001_c0010,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.34523809650744,530249.6739925416,4222382.250606242,10,1,development
AOI-00,AOI-00_r0001_c0011,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.34821428698365,530510.4478087348,4222383.225405485,11,1,development
AOI-00,AOI-00_r0001_c0012,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.35119047745985,530771.2216446397,4222384.208572388,12,1,development
AOI-00,AOI-00_r0001_c0013,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.35416666793606,531031.995500425,4222385.200106957,13,1,development
AOI-00,AOI-00_r0001_c0014,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.35714285841226,531292.7693762578,4222386.200009197,14,1,development
AOI-00,AOI-00_r0001_c0015,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.36011904888846,531553.5432723088,4222387.208279118,15,1,development
AOI-00,AOI-00_r0001_c0016,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.36309523936467,531814.3171887454,4222388.224916727,16,1,development
AOI-00,AOI-00_r0001_c0017,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.36607142984087,532075.091125736,4222389.249922032,17,1,development
AOI-00,AOI-00_r0001_c0018,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.36904762031708,532335.865083449,4222390.283295039,18,1,development
AOI-00,AOI-00_r0001_c0019,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.37202381079328,532596.6390620531,4222391.3250357555,19,1,development
AOI-00,AOI-00_r0001_c0020,1,EPSG:32647,AOI-00_b_1_5,5,5000,38.148809523819025,99.37500000126948,532857.4130617166,4222392.375144192,20,1,development
