sensor,aoi,window,fold,slope,intercept,train_n,test_n,train_blocks,test_blocks,model_id,train_years,processing_hash,block_manifest_hash,verified_rmse
landsat,AOI-02,W2022,3,0.9863961601458358,-0.08116073403262197,9667,2416,23,7,multi_aoi-00107429b44e2cfa94ff,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,4ef3f2238e463ae841222959294750959b47274df54c0134e4c80be3a75e4891,0.05033881209839435
landsat,AOI-02,W2022,4,0.9776149504476661,-0.07792239852351335,9669,2414,23,7,multi_aoi-00107429b44e2cfa94ff,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,4ef3f2238e463ae841222959294750959b47274df54c0134e4c80be3a75e4891,0.05292759355743229
landsat,AOI-02,W2022,5,0.9689345918939145,-0.07511168691600362,9665,2418,25,5,multi_aoi-00107429b44e2cfa94ff,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,4ef3f2238e463ae841222959294750959b47274df54c0134e4c80be3a75e4891,0.045220744301727414
landsat,AOI-02,W2022_2023,1,1.0048136432200385,-0.08817104888635263,6680,1448,9,3,multi_aoi-96b6c8b4e3c3e4296e0d,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,1afbdf5fe2c5cb53aacfdd97048cc74a2094c0a49ffac44d791da0ae62f6187c,0.058667103291136176
landsat,AOI-02,W2022_2023,2,1.0047754325649545,-0.08484000044494133,6570,1558,9,3,multi_aoi-96b6c8b4e3c3e4296e0d,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,1afbdf5fe2c5cb53aacfdd97048cc74a2094c0a49ffac44d791da0ae62f6187c,0.053761788735414276
landsat,AOI-02,W2022_2023,3,0.9711255063297868,-0.07328891575748075,6453,1675,10,2,multi_aoi-96b6c8b4e3c3e4296e0d,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,1afbdf5fe2c5cb53aacfdd97048cc74a2094c0a49ffac44d791da0ae62f6187c,0.05885722103125873
landsat,AOI-02,W2022_2023,4,0.9812383702680005,-0.07162412050101774,6405,1723,10,2,multi_aoi-96b6c8b4e3c3e4296e0d,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,1afbdf5fe2c5cb53aacfdd97048cc74a2094c0a49ffac44d791da0ae62f6187c,0.05301560996008312
landsat,AOI-02,W2022_2023,5,1.0184243201431546,-0.09269130719830954,6404,1724,10,2,multi_aoi-96b6c8b4e3c3e4296e0d,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,1afbdf5fe2c5cb53aacfdd97048cc74a2094c0a49ffac44d791da0ae62f6187c,0.056607375423333675
landsat,AOI-02,W2022_2024,1,1.000619267654686,-0.08199870632266892,6952,1499,9,2,multi_aoi-7e4b7d5e72139724180a,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,d8d8622ac2510e2f32e79cb38264f0b686b3f8f62664a25b0afe44fbaa6e6752,0.056078332057359494
landsat,AOI-02,W2022_2024,2,1.0001330925980743,-0.08371766171938422,6949,1502,8,3,multi_aoi-7e4b7d5e72139724180a,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,d8d8622ac2510e2f32e79cb38264f0b686b3f8f62664a25b0afe44fbaa6e6752,0.058726083587373475
