sensor,aoi,window,full_slope,full_intercept,n,model_id,fold_n,slope_fold_min,slope_fold_max,slope_fold_median,slope_fold_iqr,slope_fold_sd,intercept_fold_min,intercept_fold_max,intercept_fold_median,intercept_fold_iqr,intercept_fold_sd
landsat,AOI-03,W2024,0.8872859532100696,-0.071821972782521,15551,multi_aoi-7901b773558bbec52925,5,0.8816516359733942,0.9002759821363263,0.8928273179207669,0.0067720162001150275,0.0070506465361057,-0.07338825415026662,-0.07001329645790089,-0.07310222160921293,0.002704805233812446,0.001641339014320656
modis,AOI-00,W2022,1.0173301013686742,-0.1292712163021439,20256,multi_aoi-3fd42668df20ca8be9a0,5,0.977720358414262,1.0271388133067114,1.0151644821683152,0.005137793129622148,0.01860672139123679,-0.13474607573491149,-0.09888461502658785,-0.12983627134010045,0.006680832813087512,0.014303805445622543
modis,AOI-00,W2022_2023,0.9987877562275846,-0.1157767353605744,40512,multi_aoi-2548119df2ac39ba86e4,5,0.9700530475547663,1.0075514091442346,0.9912015842671117,0.010386270816461818,0.013807053085128538,-0.11988917363802387,-0.09215708857643012,-0.11243301179405463,0.009651053820276534,0.010828937761103124
modis,AOI-00,W2022_2024,0.9752383787223315,-0.1057153983201129,60768,multi_aoi-57467b4a18d0a1582c69,5,0.9451172420119361,0.9824985074132633,0.9682295664381367,0.013903314447656023,0.014242651125940932,-0.10916516419275601,-0.08061624747191076,-0.10274613989940018,0.011256254791292664,0.011502299280576733
modis,AOI-00,W2023,0.977655307475334,-0.100192734703512,20256,multi_aoi-4da35621bb9ba008581b,5,0.9598395492939029,0.9839806058820877,0.9619667815571009,0.014932253390954497,0.010841881135179131,-0.10206244768185457,-0.08374422589763098,-0.09066171575564275,0.012856165367163941,0.008034997306097873
modis,AOI-00,W2023_2024,0.958794174558208,-0.0965155756754545,40512,multi_aoi-e7cf62d64ebe5aa890e3,5,0.9331737900043774,0.963754876805685,0.9477510272746084,0.018101760576493486,0.012573451881322178,-0.09827507806175595,-0.07413064577388306,-0.09045934227570052,0.013754770768841795,0.010181850106645574
modis,AOI-00,W2024,0.9366411712572598,-0.0907019204451208,20256,multi_aoi-dd61b8e5102f6e674406,5,0.9008592904116062,0.9424893713740609,0.9305650816642043,0.020349703201857583,0.016855782721914733,-0.09390492632927017,-0.06093495918961633,-0.08833395565080426,0.014075321694113296,0.01377695690121801
modis,AOI-01,W2022,0.0956840411553286,-0.0052895165780591,19878,multi_aoi-56f72ff5e981be70371d,5,0.06419620529043707,0.12859503685537393,0.12322126053398862,0.014945521575162546,0.026934907070074995,-0.007070061780781523,-0.0035203453281320773,-0.006742340798217994,0.0007669346301026935,0.0014732712427605265
modis,AOI-01,W2022_2023,0.0891504755802703,-0.004957849780149,39756,multi_aoi-4345171fab6f74744cb9,5,0.04747950531387655,0.13341695600702738,0.10951809970488081,0.004684445085603034,0.03202596972672606,-0.007430266969950769,-0.00258302040833211,-0.006017000084153926,0.00022586242865352268,0.0017974979256607498
modis,AOI-01,W2022_2024,0.0739452694694675,-0.0041079391256634,59634,multi_aoi-b80c98fb9760ee7383c0,5,0.03498753194340807,0.12903364347064333,0.0853156642083849,0.005161515962290711,0.03339154503985643,-0.007225724604400835,-0.0018682742173262484,-0.0046920659346199375,0.00028506744925298373,0.0018996671400568078
modis,AOI-01,W2023,0.0849947999759786,-0.0047553771080641,19878,multi_aoi-1b3788664b1356720965,5,0.03649950074708127,0.13958413981391912,0.10243775366283814,0.0036326094092972716,0.037194106199637623,-0.00787632289335983,-0.0019557526264870197,-0.005673100549795645,0.00022469584146512112,0.002129845020578253
modis,AOI-01,W2023_2024,0.0668775275409987,-0.0037212072302103,39756,multi_aoi-41ad1ec1787b6534457c,5,0.026415312702280935,0.13106623003787687,0.077305737199931,0.007153989315150586,0.03712219095447043,-0.00740919181808364,-0.001370540164373755,-0.004247808104949015,0.0003896309092121051,0.0021436211425482654
modis,AOI-01,W2024,0.0511098817215989,-0.0028150944328324,19878,multi_aoi-dfc8e0368af4eff139ab,5,0.01844210755506595,0.1208334298933726,0.0570956404842751,0.00904244259627348,0.03718161189556761,-0.006840390986821634,-0.0009044589654339063,-0.0030775569841213464,0.0004892025267817443,0.002163622676541077
modis,AOI-02,W2022,1.0786818787665444,-0.1323418794515132,18558,multi_aoi-b0a0121b8b97f5af972b,5,1.071942731397229,1.096614726575918,1.08136223192031,0.006829744996130094,0.009131480587798127,-0.14246881935135564,-0.1291797919603146,-0.13354949253982606,0.005141661364676864,0.005420956940508771
modis,AOI-02,W2022_2023,1.0630927316723822,-0.1303987418442526,27583,multi_aoi-e4eb93cf7d4ec3749f43,5,1.0640183601299662,1.0817694856353888,1.0690741137074513,0.005697603044595212,0.007069271990617941,-0.13986799219792545,-0.13013857096676756,-0.13140020323348084,0.0025640275720688055,0.0039208897373024685
modis,AOI-02,W2022_2024,1.071219151193047,-0.1320316438948811,45108,multi_aoi-0a35068846c28919d0c6,5,1.067984589338275,1.087971997665027,1.0765736485489268,0.012674349960067888,0.008521105462021136,-0.1401193901266048,-0.1314268851291549,-0.13377213786836062,0.007334800217141946,0.004128837416744344
modis,AOI-02,W2023,1.0997951923976506,-0.1675155461141249,9553,multi_aoi-c9e27577761c00c8ac9b,5,1.105843546555755,1.1219736388720096,1.1158876924984253,0.005857610753397635,0.006162918646026184,-0.17997715881002607,-0.16914954284850237,-0.17688888519244872,0.003028584488974473,0.004087313780623254
modis,AOI-02,W2023_2024,1.0751804582260784,-0.1372108892267317,27078,multi_aoi-d8577ef83e48679cf7fe,5,1.0813608337859142,1.102194866874119,1.083254280298133,0.004046914770766685,0.008518496424630624,-0.15170184459636027,-0.14046467861618284,-0.14229429222999057,0.003515719332053857,0.004559029948343661
