Sensor,AOI,sensor,history,train_years,slope,intercept,train_n,training_FCOVER_mean,n,RMSE,MAE,Bias,R2,Pearson_r,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
Landsat 8/9,AOI-00,landsat,W2023_2024,2023;2024,0.835595516146,0.0015030395496,39742,0.53167419962,20251,0.0499264728446,0.0402435700837,-0.0151528833616,0.74183968424,0.875300807162,0,0,0,0.550773343461,0.550773343461,0.00701299438904,0.00701299438904,0.0499264728446,0.0402435700837,-0.0151528833616,0.74183968424,0.875300807162,0.0499264728446,0.0402435700837,-0.0151528833616,0.74183968424,0.875300807162,0
Landsat 8/9,AOI-00,landsat,W2022_2024,2022;2023;2024,0.857476986046,-0.0112924728687,58330,0.526056232749,20251,0.0494157986509,0.0398007839972,-0.0135648317347,0.747093873476,0.875300807162,0,0,0,0.552361395088,0.552361395088,0.00738509753223,0.00738509753223,0.0494157986509,0.0398007839972,-0.0135648317347,0.747093873476,0.875300807162,0.0494157986509,0.0398007839972,-0.0135648317347,0.747093873476,0.875300807162,0
MODIS,AOI-00,modis,W2022,2022,1.01733010137,-0.129271216302,20256,0.51588309718,20256,0.0388981351379,0.0308910183336,-0.00143625707459,0.844126422004,0.918938144275,0,0,0,0.56437476284,0.56437476284,0.00838383089357,0.00838383089357,0.0388981351379,0.0308910183336,-0.00143625707459,0.844126422004,0.918938144275,0.0388981351379,0.0308910183336,-0.00143625707459,0.844126422004,0.918938144275,0
MODIS,AOI-00,modis,W2023,2023,0.977655307475,-0.100192734704,20256,0.540479463998,20256,0.0389458205608,0.0311352127046,0.000590767754635,0.843744015317,0.918938144275,0,0,0,0.566401787669,0.566401787669,0.00774266099798,0.00774266099798,0.0389458205608,0.0311352127046,0.000590767754635,0.843744015317,0.918938144275,0.0389458205608,0.0311352127046,0.000590767754635,0.843744015317,0.918938144275,0
MODIS,AOI-00,modis,W2024,2024,0.936641171257,-0.0907019204451,20256,0.52221722053,20256,0.04322787931,0.033662001055,-0.0178830782653,0.80749465009,0.918938144275,0,0,0,0.547927941649,0.547927941649,0.00710665459191,0.00710665459191,0.04322787931,0.033662001055,-0.0178830782653,0.80749465009,0.918938144275,0.04322787931,0.033662001055,-0.0178830782653,0.80749465009,0.918938144275,0
MODIS,AOI-00,modis,W2022_2023,2022;2023,0.998787756228,-0.115776735361,40512,0.528181280589,20256,0.0388677931787,0.0309567511108,-0.000584499604653,0.844369501274,0.918938144275,0,0,0,0.56522652031,0.56522652031,0.00808100061429,0.00808100061429,0.0388677931787,0.0309567511108,-0.000584499604653,0.844369501274,0.918938144275,0.0388677931787,0.0309567511108,-0.000584499604653,0.844369501274,0.918938144275,0
MODIS,AOI-00,modis,W2023_2024,2023;2024,0.958794174558,-0.0965155756755,40512,0.531348342264,20256,0.0400221940367,0.0314987315065,-0.00859215569439,0.834987543597,0.918938144275,0,0,0,0.55721886422,0.55721886422,0.00744679662819,0.00744679662819,0.0400221940367,0.0314987315065,-0.00859215569439,0.834987543597,0.918938144275,0.0400221940367,0.0314987315065,-0.00859215569439,0.834987543597,0.918938144275,0
MODIS,AOI-00,modis,W2022_2024,2022;2023;2024,0.975238378722,-0.10571539832,60768,0.526193260569,20256,0.0395079324646,0.0311795790204,-0.00657982990927,0.839200924177,0.918938144275,0,0,0,0.559231190005,0.559231190005,0.00770442599136,0.00770442599136,0.0395079324646,0.0311795790204,-0.00657982990927,0.839200924177,0.918938144275,0.0395079324646,0.0311795790204,-0.00657982990927,0.839200924177,0.918938144275,0
Sentinel-2,AOI-01,sentinel2,W2022,2022,0.0736230007588,-0.00217175588672,19878,0.000139853107648,19878,0.00132426176805,0.000350322956504,-0.000170965131489,0.422556633589,0.838836981918,0.647499748466,0,0.647499748466,-0.000156764864931,0.000174140023384,8.15414565478e-07,3.06747180783e-07,0.00150344779499,0.000681227844819,-0.000501870019804,0.255716451465,0.585862910429,0.00132426176805,0.000350322956504,-0.000170965131489,0.422556633589,0.838836981918,0.000179186026939
Sentinel-2,AOI-01,sentinel2,W2023,2023,0.0761335147129,-0.00245679629663,19729,0.000186121957803,19878,0.0013406903172,0.000316081907719,-0.000225433708226,0.408140449111,0.847752217818,0.772562632056,0,0.772562632056,-0.000373094912254,0.000119671446647,8.71973315345e-07,2.83830177628e-07,0.00158681317273,0.00080884826662,-0.000718200067127,0.170887794052,0.585862910429,0.0013406903172,0.000316081907719,-0.000225433708226,0.408140449111,0.847752217818,0.000246122855524
Sentinel-2,AOI-01,sentinel2,W2024,2024,0.064452505341,-0.00203417000555,19878,0.000183117019413,19878,0.00139513382014,0.000325950711539,-0.000232802582515,0.359095312138,0.847070334112,0.7448938525,0,0.7448938525,-0.000270166660735,0.000112302572358,6.24929523691e-07,2.108178135e-07,0.00155763637794,0.000708419944631,-0.000615271815607,0.201097321147,0.585862910429,0.00139513382014,0.000325950711539,-0.000232802582515,0.359095312138,0.847070334112,0.0001625025578
Sentinel-2,AOI-01,sentinel2,W2022_2023,2022;2023,0.0734493219969,-0.002264588497,39607,0.000162900501915,19878,0.00133851071826,0.000331167464451,-0.000202664682414,0.410063291133,0.845172214189,0.714407888118,0,0.714407888118,-0.000254350896595,0.000142440472459,8.11571930766e-07,2.84330857047e-07,0.00153894004472,0.000727958833505,-0.000599456051467,0.220160703436,0.585862910429,0.00133851071826,0.000331167464451,-0.000202664682414,0.410063291133,0.845172214189,0.000200429326455
Sentinel-2,AOI-01,sentinel2,W2023_2024,2023;2024,0.0706220390962,-0.00225590568594,39607,0.000184613836377,19878,0.00136588981203,0.000320746589372,-0.000228727375776,0.385682275317,0.847579195472,0.761042358386,0,0.761042358386,-0.000323048110834,0.000116377779097,7.5029480853e-07,2.48239890392e-07,0.00157001587238,0.000760172479303,-0.000668153265706,0.188348116756,0.585862910429,0.00136588981203,0.000320746589372,-0.000228727375776,0.385682275317,0.847579195472,0.000204126060348
