model,Sensor,AOI,sensor,configuration,history,n,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
DPM,Landsat 8/9,AOI-03,landsat,P2/P98,NA,14402,0.0200666574087,0.0200666574087,0.0401333148174,0.316351588795,0.315118766487,0.053343514479,0.0504298972826,0.232792071753,0.188968274952,0.18542005117,-4.30112374111,0.936849781078,0.228264718726,0.186755209332,0.184187228861,-4.09693567573,0.935304048201,0.0045273530267
DPM,Landsat 8/9,AOI-03,landsat,P5/P95,NA,14402,0.0500624913206,0.0500624913206,0.100124982641,0.36461479778,0.356137354995,0.0863382591827,0.0685951156444,0.309036292385,0.242196662149,0.233683260155,-8.34222968832,0.936849781078,0.28416847813,0.229981358412,0.22520581737,-6.89920480238,0.921117388857,0.024867814255
DPM,Landsat 8/9,AOI-03,landsat,P10/P90,NA,14402,0.100055547841,0.100055547841,0.200111095681,0.45999523685,0.42626904486,0.171486682418,0.0954754264129,0.459936089986,0.350131104429,0.329063699224,-19.6931472819,0.936849781078,0.371868817068,0.30318046211,0.295337507234,-12.5272991896,0.874417884173,0.0880672729186
DPM,MODIS,AOI-03,modis,P1/P99,NA,17860,0.0100223964166,0.0100223964166,0.0200447928331,0.321951283498,0.321573293221,0.0435640553865,0.0426154342777,0.220765817035,0.190706936357,0.189841764664,-3.61180269084,0.965540566884,0.219340722849,0.189950535934,0.189463774387,-3.55245436794,0.96527680345,0.00142509418586
DPM,MODIS,AOI-03,modis,P2/P98,NA,17860,0.0200447928331,0.0200447928331,0.0400895856663,0.337625517169,0.336180667464,0.0533493368711,0.0501746581199,0.245564300736,0.207482363101,0.205515998336,-4.70607561226,0.965540566884,0.24086623217,0.205073704421,0.20407114863,-4.48983003254,0.963456344028,0.00469806856589
DPM,MODIS,AOI-03,modis,P5/P95,NA,17860,0.05,0.05,0.1,0.390644132984,0.382079808066,0.0854633052995,0.0679954609362,0.323785232787,0.264620314977,0.258534614151,-8.92021616352,0.965540566884,0.300290550215,0.252335852049,0.249970289233,-7.53277692532,0.948923332233,0.0234946825718
DPM,MODIS,AOI-03,modis,P10/P90,NA,17860,0.1,0.1,0.2,0.483879555263,0.452885507444,0.169629969732,0.0971683198582,0.471358396959,0.371901276717,0.351770036429,-20.0237196623,0.965540566884,0.390797601392,0.325760901007,0.32077598861,-13.4514305289,0.903588506325,0.0805607955669
OLS,Sentinel-2,AOI-00,sentinel2,OLS,W2022,19233,5.19939686996e-05,0,5.19939686996e-05,0.541847616335,0.541848075982,0.00666651868333,0.00666601650307,0.0630844921,0.0511504893946,-0.0248781164081,0.585464548854,0.806626166995,0.0630834398164,0.0511500297482,-0.0248776567618,0.585478378091,0.806632031051,1.05228352688e-06
OLS,Sentinel-2,AOI-00,sentinel2,OLS,W2023,19233,5.19939686996e-05,0,5.19939686996e-05,0.541436145031,0.541437936646,0.00729077009068,0.00728876826166,0.0635122556242,0.0512779801016,-0.0252895877123,0.579823722203,0.806626166995,0.0635078202004,0.0512761884867,-0.0252877960974,0.579882406775,0.806645532138,4.43542379032e-06
OLS,Sentinel-2,AOI-00,sentinel2,OLS,W2024,19233,0,0,0,0.536550445149,0.536550445149,0.00505814932479,0.00505814932479,0.0657804286961,0.0536638642768,-0.0301752875949,0.549276860547,0.806626166995,0.0657804286961,0.0536638642768,-0.0301752875949,0.549276860547,0.806626166995,0
OLS,Sentinel-2,AOI-00,sentinel2,OLS,W2022_2023,19233,5.19939686996e-05,0,5.19939686996e-05,0.541919728952,0.541920894611,0.00700112401431,0.00699983449296,0.063172391112,0.0511115977988,-0.0248060037913,0.584308555031,0.806626166995,0.0631696009273,0.05111043214,-0.0248048381325,0.584345274562,0.806639784125,2.79018469569e-06
